city,province,year,gdp,gdp_per_capita,secondary_value_added,industrial_output,population,employment,average_wage,fdi,fixed_asset_investment,education_proxy,telecom_or_internet_proxy,foreign_trade,source_name,source_file
Qingdao,Shandong,2021,12401.0,12.266073194856578,1.85,,1011.0,1477012.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Qingdao,Shandong,2022,14136.0,16.70921985815603,1.82,,846.0,1476552.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Qingdao,Shandong,2024,15760.0,15.197685631629701,1.73,,1037.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Qinhuangdao,Hebei,2021,1686.0,5.369426751592357,6.51,,314.0,279983.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Qinhuangdao,Hebei,2022,1844.0,6.1466666666666665,6.04,,300.0,277644.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Qinhuangdao,Hebei,2024,2001.0,6.434083601286174,5.77,,311.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shenyang,Liaoning,2021,6572.0,7.245865490628446,2.34,,907.0,1184237.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shenyang,Liaoning,2022,7249.0,9.475816993464052,2.25,,765.0,1199416.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shenyang,Liaoning,2024,8122.0,95.41823308270676,2.06,,85.12,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shenzhen,Guangdong,2021,27670.0,15.694838343732275,0.09,,1763.0,5052706.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shenzhen,Guangdong,2022,30665.0,48.597464342313785,0.09,,631.0,5135959.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shenzhen,Guangdong,2024,34606.0,19.45250140528387,0.07,,1779.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shijiazhuang,Hebei,2021,5935.0,5.280249110320285,2.43,,1124.0,1050390.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shijiazhuang,Hebei,2022,6490.0,6.175071360608944,2.26,,1051.0,1076295.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Shijiazhuang,Hebei,2024,7534.0,6.708815672306322,1.83,,1123.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Suzhou,Jiangsu,2021,20170.0,15.819607843137256,0.72,,1275.0,2974094.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Suzhou,Jiangsu,2022,22718.0,29.813648293963254,0.61,,762.0,3004550.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Suzhou,Jiangsu,2024,24653.0,19.022376543209877,0.57,,1296.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Taiyuan,Shanxi,2021,4153.0,7.806390977443609,0.24,,532.0,1013630.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Taiyuan,Shanxi,2022,5122.0,12.967088607594937,0.3,,395.0,1004424.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Taiyuan,Shanxi,2024,5574.0,10.227522935779817,0.28,,545.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Tangshan,Hebei,2021,7211.0,9.340673575129534,4.33,,772.0,771803.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Tangshan,Hebei,2022,8231.0,10.960053262316912,3.97,,751.0,772233.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Tangshan,Hebei,2024,9133.0,11.830310880829016,4.03,,772.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Tongling,Anhui,2021,1004.0,7.66412213740458,3.11,,131.0,169324.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Tongling,Anhui,2022,1166.0,6.899408284023669,2.76,,169.0,154421.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Tongling,Anhui,2024,1230.0,9.461538461538462,2.81,,130.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Urumqi,Xinjiang,2021,3337.0,8.239506172839507,0.57,,405.0,819995.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Urumqi,Xinjiang,2022,3692.0,,0.55,,,821652.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Urumqi,Xinjiang,2024,4168.0,10.215686274509803,0.6,,408.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Weifang,Shandong,2021,5872.0,6.25346112886049,3.09,,939.0,979219.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Weifang,Shandong,2022,7011.0,7.620652173913044,3.01,,920.0,959813.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Weifang,Shandong,2024,7606.0,8.117395944503736,2.99,,937.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wenzhou,Zhejiang,2021,6871.0,7.1647549530761205,0.67,,959.0,330442.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wenzhou,Zhejiang,2022,7585.0,9.105642256902762,0.64,,833.0,1050562.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
